file_name,prn,name,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50
10000721_Bishop Burton College_Submission.txt,10000721,Bishop Burton College,0,0.0201067184089255,0.0132427843803056,0.0243997089497938,0,0,0.0297113752122241,0.00436575309240844,0.00208585981081737,0.0194276012612176,0.0458889158379821,0.00778559301479505,0.0308270676691729,0,0,0.0410865874363328,0,0.0421052631578947,0.00586951249090468,0.00475382003395586,0,0.00863448944943003,0,0.00075187969924812,0.0183604171719622,0.0339801115692457,0.21882124666505,0,0.029808391947611,0.0109628910987145,0.0611690516614116,0.000315304390007276,0.00254668930390492,0.0674508852777104,0.0233810332282319,0.012951734174145,0.00169779286926995,0.0250303177298084,0,0.0098471986417657,0.0397283531409168,0.0941304875090953,0.00502061605626971,0.0194276012612176,0.00439000727625515,0.0164685908319185,0.000654862963861266,0,0.000873150618481688,0.00194033470773708
10000747_Blackburn College_Submission.txt,10000747,Blackburn College,0,0.0262122134307162,0.0511868533171029,0.0107324000811524,0.0102657739906675,0.000202880908906472,0.0185230269831609,0.0394400486914181,0.00190708054372084,0.0458105092310814,0.0822682085615744,0.000202880908906472,0.0596266991276121,0,0,0.00387502536011361,0,0.0107324000811524,0,0.00316494217894096,0,0.00316494217894096,0,0.000689795090282005,0,0.0284236153377967,0.138202475147089,0,0.0534996956786366,0.00265773990667478,0.0522215459525259,0.0488740109555691,0,0.055203895313451,0,0.0133292757151552,0,0.00448366808683303,0,0.0101034692635423,0.0442889024142828,0.114850882531954,0.00610671535808481,0.0205112598904443,0.0135321566240617,0.00385473726922297,0.0029214850882532,0,0.0043010752688172,0.0146277135321566
10000754_Blackpool and the Fylde College_Submission.txt,10000754,Blackpool and the Fylde College,0.00154473288993778,0.0497961810770221,0.00570692984338125,0.025402274190088,0.0255953658013302,0.00388328684831581,0.0222055352928556,0.0655867839519416,0.000622184080669384,0.00188800686547951,0.0978116284059215,0.0260673675177001,0.0173353357648573,0.00113709504398198,0.0106200386183222,0.00871057712937138,0,0.0184724308088393,0,0.0102124007723664,0,0.00203818922977902,0,0.00055782021025531,0,0.0480583565758421,0.121969534434671,0,0.0065007509118215,0,0.0714438961596224,0,0.0317099334906672,0.0610598583994851,0,0.0237502681827934,0.0026603733104484,0.0238360866766788,0.000321819352070371,0.0589787599227634,0.0354001287277408,0.0516841879425016,0.0191375241364514,0.0118429521561897,0.0129800472001716,0.00467710791675606,0.00336837588500322,0.00287491954516198,0.00263891868697704,0.00991203604376743
10000824_Bournemouth University_Submission.txt,10000824,Bournemouth University,0.00340466926070039,0.0492217898832685,0.00288586251621271,0.0124513618677043,0.0395103761348898,0,0.0238164721141375,0.000956549935149157,0.00244811932555123,0.0201037613488975,0.0564364461738003,0.0250486381322957,0.00481517509727627,0.000243190661478599,0.000243190661478599,0.00820363164721142,0,0.0229409857328145,0,0.000713359273670558,0,0.0121271076523995,0,0,0,0.0702658884565499,0.0834792477302205,0,0.0118352788586252,0.000729571984435798,0.0963683527885863,0.00312905317769131,0,0.0852626459143969,0,0.00747405966277562,0.00308041504539559,0.0151588845654994,0.00103761348897536,0.0822470817120623,0.0273346303501946,0.000745784695201038,0.00103761348897536,0.0219033722438392,0.0733138780804151,0.000826848249027237,0.001215953307393,0.125956549935149,0,0.00202658884565499
10000840_Bradford College_Submission.txt,10000840,Bradford College,0.0197626112759644,0.0220178041543027,0,0.0190504451038576,0,0,0.0104451038575668,0.00587537091988131,0.00160237388724036,0.0147181008902077,0.0240356083086053,0.0459347181008902,0.00308605341246291,0,0,0.0233827893175074,0,0.0291988130563798,0.00498516320474778,0.0789317507418398,0.030919881305638,0.0116913946587537,0,0.00718100890207715,0.0196439169139466,0.0940652818991098,0.0392284866468843,0,0.000830860534124629,0,0.0372106824925816,0,0,0.0272403560830861,0.00148367952522255,0.166824925816024,0,0.0367952522255193,0,0.0344807121661721,0.0415430267062315,0.0898516320474777,0.00640949554896142,0.0172106824925816,0.0323442136498516,0,0.00201780415430267,0,0,0
10000886_University of Brighton_Submission.txt,10000886,University of Brighton,0,0.0701467583132083,0.0342374140813673,0.0169608025264722,0.0303919747352777,0,0.0627345346461081,0.00371540033438603,0.0130039011703511,0.0488946684005202,0.0617499535574958,0.00611183355006502,0.0134869032138213,0,0.000315809028422813,0,0,0.0225524800297232,0,0.00594464053501765,0.00261935723574215,0,0.00367824633104217,0,0.00665056659855099,0.0489132454021921,0.149024707412224,0,0.00460709641463868,0.0360208062418726,0.100743080066877,0.0048671744380457,0,0.0409437116849341,0,0.0210477428942969,0.000613041055173695,0.02021177781906,0,0.0272338844510496,0.0328069849526286,0.0132825561954301,0.0121307820917704,0.00726360765372469,0.0471298532416868,0.00302805127252461,0.00152331413709827,0.0124837451235371,0.0035110533159948,0.00941853984766859
10000936_The British School of Osteopathy_Submission.txt,10000936,The British School of Osteopathy,0.000290012688055102,0.0369403661410187,0.00783034257748777,0.0437556643103136,0.0215696936740982,0,0.0329345658872576,0.00308138481058546,0.158600688780134,0.040547398948704,0.0650172195033533,0.00271886895051659,0.0308863512778684,0.000271886895051659,0.000616276962117093,0.021642196846112,0,0.032137030995106,0,0.000996918615189414,0.00264636577850281,0,0,0,0,0.0216240710531086,0.105238354177995,0.000580025376110205,0.0236904114555012,0.000199383723037883,0.0662678992205909,0.000960667029182527,0,0.0755301794453507,0,0.00378829073771978,0.00201196302338227,0.0263549030270074,0,0.00957041870581838,0.0554649265905383,0.0104404567699837,0.0203915171288744,0.0244335689686424,0.00725031720137756,0.00957041870581838,0.00522022838499184,0.000634402755120537,0.00721406561537067,0.0210802972630053
10000952_BMC (Brooksby Melton College)_Submission.txt,10000952,BMC (Brooksby Melton College),0,0.0296107211231653,0,0.00402042118698149,0,0.000255264837268666,0,0.0412890874282068,0.00548819400127632,0.0250797702616465,0.0296107211231653,0.0442246330567964,0.0379068283343969,0.00791320995532865,0.0167836630504148,0.0308870453095086,0,0.0565411614550096,0.00644543714103382,0.0276962348436503,0,0,0,0.0449904275686024,0.00127632418634333,0.0394384173580089,0.0687938736439056,0,0,0,0.0335035098915124,0.0435864709636248,0.00204211869814933,0.0144862795149968,0.00338225909380983,0.0178685386088066,0,0.020293554562859,0,0.123548181238034,0.0332482450542438,0.094256541161455,0,0.0205488194001276,0.0148691767708998,0.0209317166560306,0.0391831525207403,0,0,0
10000961_Brunel University London_Submission.txt,10000961,Brunel University London,0,0.0581632653061225,0,0.0211989795918367,0.101887755102041,0,0.0547448979591837,0,0.00535714285714286,0.0308163265306122,0.101301020408163,0.00619897959183674,0.0119897959183673,0,0,0.00326530612244898,0,0.0175510204081633,0,0.00482142857142857,0.000612244897959184,0,0.000331632653061225,0,0.00530612244897959,0.0146938775510204,0.13484693877551,0,0.010280612244898,2.55102040816327e-05,0.0866071428571429,0,0,0.0472704081632653,0.00403061224489796,0.0230357142857143,0.00900510204081633,0.0294387755102041,0,0.0502040816326531,0.0296683673469388,0.000714285714285714,0.0197448979591837,0.0227295918367347,0.0793367346938776,0.00224489795918367,0,0.00395408163265306,0.00278061224489796,0.00584183673469388
10000975_Buckinghamshire New University_Submission.txt,10000975,Buckinghamshire New University,0.00393775801841855,0.0607812003810734,0.0190695458875834,0.00425531914893617,0.0054144172753255,0,0.0486821213083519,0.0220863766275008,0,0.0453953636074944,0.0788027945379486,0.00530327087964433,0.00179422038742458,0.0013496348046999,0,0.00174658621784694,0,0.0176722769133058,0,0.0276436964115592,0.00959034614163227,0.000301683073991743,0.0089711019371229,0,0.00115909812638933,0.0535884407748492,0.115068275643061,0,0.0110670053985392,0,0.0656557637345189,0.0498253413782153,0,0.0513020006351223,0,0.0245315973324865,0.00320736741822801,0.0501270244522071,0,0.0812321371864084,0.0385360431883137,0.0051603683709114,0.0102254684026675,0.0134804699904732,0.0311051127342013,0.00238170847888218,0,0.0090504922197523,0.00155604953953636,0.0189425214353763
